Given Sand,Tested Sand,Given Silt,Tested Silt,Given Clay,Tested Clay
68.2,62.9,24.3,30.3,7.5,6.8
68.2,65.5,24.3,27.2,7.5,7.2
68.2,64.9,24.3,27.9,7.5,7.2
66.5,63.9,24.3,28.4,15,7.7
41.6,48.3,37.4,36.1,21,15.5
41.6,62.2,37.4,31.6,21,6.19
41.6,70.1,37.4,32.1,21,5.5
41.6,66.8,37.4,23.1,21,6.5
35.4,72.7,33.6,26.3,31,6.9
67.9,68,19.6,21.3,12.5,6
68.2,68,24.3,22.2,7.5,9.8
68.2,67.8,24.3,26.6,7.5,5.6
68.2,71.5,24.3,22,7.5,6.5
66.5,66.9,18.5,28.1,15,4.9
66.5,75.6,18.5,19.8,15,4.6
66.5,66.8,18.5,24,15,9.2
66.5,61,18.5,29,15,10.1